realization_id,split,seed,samples,mean_W,std_W,max_W,zero_fraction,Hs_m,Te_s,Tp_s,omega0_over_omegap,zeta,channel_length_m,capture_width_m,rated_power_W
Hs0.060_Te1.75_r1.00_seed7100,train,7100,6000,3.4642245769500732,7.83994722366333,80.0,0.5051666666666667,0.05999999865889549,1.75,1.9249999523162842,1.0,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.00_seed7101,train,7101,6000,3.4581563472747803,7.721655368804932,79.53791046142578,0.5,0.05999999865889549,1.75,1.9249999523162842,1.0,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.00_seed7102,train,7102,6000,3.468245506286621,7.328146457672119,68.7271957397461,0.5041666666666667,0.05999999865889549,1.75,1.9249999523162842,1.0,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.00_seed7103,train,7103,6000,3.444255828857422,7.387592792510986,66.73771667480469,0.49383333333333335,0.05999999865889549,1.75,1.9249999523162842,1.0,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.60_seed8100,validation,8100,6000,10.9520263671875,20.749204635620117,80.0,0.5031666666666667,0.05999999865889549,1.75,1.9249999523162842,1.600000023841858,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.60_seed8101,validation,8101,6000,10.956640243530273,20.87074851989746,80.0,0.5,0.05999999865889549,1.75,1.9249999523162842,1.600000023841858,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.60_seed8102,validation,8102,6000,10.819099426269531,20.343950271606445,80.0,0.5,0.05999999865889549,1.75,1.9249999523162842,1.600000023841858,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.60_seed8103,validation,8103,6000,11.186247825622559,20.853700637817383,80.0,0.5048333333333334,0.05999999865889549,1.75,1.9249999523162842,1.600000023841858,0.10000000149011612,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.60_seed9100,validation,9100,6000,5.681291580200195,12.378825187683105,80.0,0.5,0.05999999865889549,1.75,1.9249999523162842,1.600000023841858,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
Hs0.060_Te1.75_r1.60_seed9101,validation,9101,6000,5.724143028259277,12.535799980163574,80.0,0.498,0.05999999865889549,1.75,1.9249999523162842,1.600000023841858,0.20000000298023224,0.2750000059604645,1.1729999780654907,80.0
